,OrderId,OrderItemId,QuantityOrdered,ItemPrice,PromotionDiscount,batch_id,total_sales,pd,net_sale
28,171-0021483-3525174,64370700000000.0,1,1599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",911,1599.0,10.0,1589.0
29,171-0022424-6354758,25431600000000.0,1,949.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",874,949.0,10.0,939.0
30,171-0022691-4700335,60239000000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",64,499.0,10.0,489.0
31,171-0022807-7934716,5924270000000.0,1,999.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1329,999.0,10.0,989.0
32,171-0023361-7532373,50005700000000.0,1,1999.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",283,1999.0,10.0,1989.0
33,171-0023912-2838777,12927300000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",910,499.0,10.0,489.0
34,171-0024838-4383551,28167700000000.0,1,629.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",560,629.0,10.0,619.0
35,171-0025528-4025152,49285700000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",872,549.0,10.0,539.0
36,171-0025941-8385108,43956700000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",206,699.0,10.0,689.0
37,171-0026175-0529902,52857000000000.0,1,349.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",356,349.0,10.0,339.0
38,171-0027025-7137139,33479100000000.0,1,2689.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",19,2689.0,10.0,2679.0
40,171-0027360-2156323,18671000000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",462,399.0,10.0,389.0
41,171-0027470-8653903,25200500000000.0,1,465.25,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",461,465.25,10.0,455.25
42,171-0027915-8460372,19370600000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1477,499.0,10.0,489.0
43,171-0028127-6647532,51764600000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",275,699.0,10.0,689.0
44,171-0028216-8371541,10924400000000.0,1,1749.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",700,1749.0,10.0,1739.0
45,171-0028333-6781103,8089610000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1581,499.0,10.0,489.0
46,171-0029459-4938769,12269500000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",859,549.0,10.0,539.0
47,171-0029785-0689923,54884500000000.0,1,521.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",652,521.0,10.0,511.0
48,171-0030933-1962721,57742000000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",444,499.0,10.0,489.0
49,171-0030987-7733153,23573700000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",546,499.0,10.0,489.0
50,171-0032103-6712352,29477900000000.0,1,749.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",884,749.0,10.0,739.0
51,171-0033662-2427509,30127800000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",707,499.0,10.0,489.0
52,171-0034191-0141945,4823380000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1066,499.0,10.0,489.0
53,171-0034857-3794740,35860600000000.0,2,1198.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",188,2396.0,10.0,2386.0
54,171-0035112-3975520,69707800000000.0,1,299.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",289,299.0,10.0,289.0
55,171-0035681-2079506,16527600000000.0,1,799.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1320,799.0,10.0,789.0
56,171-0036328-6765939,46687000000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",229,499.0,10.0,489.0
57,171-0036756-9277149,30626900000000.0,1,1699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",730,1699.0,10.0,1689.0
58,171-0036856-5109160,59029100000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1372,699.0,10.0,689.0
59,171-0037142-9207550,24699100000000.0,1,1599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",709,1599.0,10.0,1589.0
60,171-0037283-7862727,42974200000000.0,1,1749.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",233,1749.0,10.0,1739.0
61,171-0037856-0957939,33098700000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",36,599.0,10.0,589.0
62,171-0038030-5358746,66922200000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",958,499.0,10.0,489.0
63,171-0039618-4949171,2855330000000.0,2,558.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",165,1116.0,10.0,1106.0
64,171-0043140-1568305,36514300000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1464,499.0,10.0,489.0
65,171-0044266-2647532,52913000000000.0,1,999.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",913,999.0,10.0,989.0
66,171-0044724-9304333,15219600000000.0,1,349.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",271,349.0,10.0,339.0
68,171-0046977-6236329,54673000000000.0,1,1399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",74,1399.0,10.0,1389.0
69,171-0047449-8610712,3397270000000.0,1,529.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",36,529.0,10.0,519.0
75,171-0048393-4049957,67270400000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",58,699.0,10.0,689.0
77,171-0048452-6955542,44792100000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",954,599.0,10.0,589.0
78,171-0049412-6503559,66117900000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1483,699.0,10.0,689.0
79,171-0050079-9266759,10077200000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",784,399.0,10.0,389.0
80,171-0051110-5241146,69729400000000.0,1,799.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",352,799.0,10.0,789.0
81,171-0051151-8917164,37758600000000.0,1,799.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1053,799.0,10.0,789.0
82,171-0051434-6217902,68437100000000.0,1,1999.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",26,1999.0,10.0,1989.0
83,171-0052971-5869129,28431400000000.0,1,749.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",112,749.0,10.0,739.0
84,171-0054608-3641930,26591600000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",884,499.0,10.0,489.0
85,171-0055360-1402717,3497320000000.0,1,1349.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",96,1349.0,10.0,1339.0
86,171-0056238-8340361,29894800000000.0,1,629.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",520,629.0,10.0,619.0
87,171-0056339-8373106,16904000000000.0,1,1149.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",609,1149.0,10.0,1139.0
88,171-0056519-3550711,2893320000000.0,1,1199.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",171,1199.0,10.0,1189.0
89,171-0057190-2365978,35525300000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",693,549.0,10.0,539.0
90,171-0057847-0289157,68578300000000.0,1,629.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",149,629.0,10.0,619.0
91,171-0060186-9892334,36258100000000.0,1,649.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",653,649.0,10.0,639.0
92,171-0060618-0701951,31586800000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",801,549.0,10.0,539.0
93,171-0061485-2957955,20389800000000.0,1,1699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",345,1699.0,10.0,1689.0
94,171-0063028-0384350,67158800000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",814,499.0,10.0,489.0
95,171-0064054-3777147,44100500000000.0,1,349.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1801,349.0,10.0,339.0
97,171-0064164-4777136,68385600000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",729,499.0,10.0,489.0
98,171-0064902-3332371,36686200000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",20,399.0,10.0,389.0
99,171-0065628-5838755,61927200000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",105,399.0,10.0,389.0
100,171-0065731-1545177,30514900000000.0,1,279.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",30,279.0,10.0,269.0
101,171-0065796-5300346,57916800000000.0,1,749.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",882,749.0,10.0,739.0
102,171-0066467-2265136,49840900000000.0,1,539.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1007,539.0,10.0,529.0
103,171-0066814-8756311,52477900000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",278,699.0,10.0,689.0
104,171-0067594-8053912,41577500000000.0,1,1440.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",80,1440.0,10.0,1430.0
105,171-0067778-0050747,52953000000000.0,1,689.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",166,689.0,10.0,679.0
106,171-0070253-7713961,48478500000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",481,499.0,10.0,489.0
107,171-0071045-9666733,25207500000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1205,499.0,10.0,489.0
108,171-0071180-4127574,42063700000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1274,549.0,10.0,539.0
109,171-0071516-3542755,3058680000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",590,599.0,10.0,589.0
110,171-0073599-1457904,29422100000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",926,499.0,10.0,489.0
111,171-0074404-2492325,36383600000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1685,499.0,10.0,489.0
112,171-0075785-1220351,26406500000000.0,2,5998.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",116,11996.0,10.0,11986.0
113,171-0076247-7910773,31749700000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",472,599.0,10.0,589.0
114,171-0076310-3709148,7352790000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",46,699.0,10.0,689.0
115,171-0077622-4872332,41679900000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",538,499.0,10.0,489.0
116,171-0079114-6837972,19764500000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1387,499.0,10.0,489.0
117,171-0079310-6543536,6350580000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",387,499.0,10.0,489.0
118,171-0079772-2640355,28029200000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",598,499.0,10.0,489.0
119,171-0079846-8216315,59649600000000.0,1,1349.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",87,1349.0,10.0,1339.0
120,171-0081333-9715512,9776550000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",406,599.0,10.0,589.0
121,171-0082325-8571521,23166100000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",300,399.0,10.0,389.0
122,171-0082628-5593950,47892300000000.0,1,749.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",367,749.0,10.0,739.0
123,171-0082964-5874717,21383900000000.0,1,329.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",354,329.0,10.0,319.0
124,171-0083001-2786714,11691100000000.0,1,359.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",422,359.0,10.0,349.0
125,171-0084346-6068358,13430800000000.0,1,1149.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",860,1149.0,10.0,1139.0
126,171-0084639-5623535,14222800000000.0,1,1999.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",91,1999.0,10.0,1989.0
127,171-0085096-2187514,15639200000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",316,549.0,10.0,539.0
128,171-0085776-5778704,5337280000000.0,1,649.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",254,649.0,10.0,639.0
132,171-0087005-4381906,67895100000000.0,1,1999.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",286,1999.0,10.0,1989.0
133,171-0087909-4106719,27797800000000.0,1,1399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",46,1399.0,10.0,1389.0
134,171-0087954-0942721,69439200000000.0,1,1199.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",411,1199.0,10.0,1189.0
135,171-0089284-7500326,25195600000000.0,1,999.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",920,999.0,10.0,989.0
136,171-0089322-0967520,52049600000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",706,499.0,10.0,489.0
137,171-0089720-0474713,69180400000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",626,499.0,10.0,489.0
138,171-0091232-2277116,35891300000000.0,1,249.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",44,249.0,10.0,239.0
139,171-0091716-0124358,39241100000000.0,1,1699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1111,1699.0,10.0,1689.0
140,171-0092335-4471533,23534200000000.0,1,469.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1303,469.0,10.0,459.0
141,171-0093333-5358749,23271700000000.0,1,649.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",4,649.0,10.0,639.0
142,171-0093691-9203503,13296900000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",378,499.0,10.0,489.0
143,171-0094009-9596319,68918200000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",996,699.0,10.0,689.0
144,171-0094455-8989152,55576400000000.0,1,529.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",67,529.0,10.0,519.0
145,171-0094897-8997912,41492600000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",453,499.0,10.0,489.0
146,171-0095152-6336328,32677000000000.0,1,949.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",279,949.0,10.0,939.0
147,171-0095588-4932371,59534500000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",393,499.0,10.0,489.0
148,171-0095673-4729952,42087700000000.0,1,2599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",295,2599.0,10.0,2589.0
149,171-0095817-3194714,9390080000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",788,499.0,10.0,489.0
150,171-0096257-0105156,27414400000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",280,499.0,10.0,489.0
151,171-0096852-6169932,16344500000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1638,499.0,10.0,489.0
152,171-0097302-0141163,27682500000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",57,399.0,10.0,389.0
153,171-0098110-4062743,27132300000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",962,499.0,10.0,489.0
154,171-0098667-5393157,26359800000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1552,399.0,10.0,389.0
155,171-0099741-7428326,33561900000000.0,1,1499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",626,1499.0,10.0,1489.0
156,171-0099997-9574764,15761700000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",91,399.0,10.0,389.0
157,171-0099998-1815545,17652700000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",492,599.0,10.0,589.0
158,171-0100044-2065101,50454200000000.0,1,239.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",94,239.0,10.0,229.0
161,171-0100090-0625126,19346000000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",81,499.0,10.0,489.0
162,171-0100510-9069918,45342400000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",880,399.0,10.0,389.0
163,171-0101430-4839576,21044200000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",730,699.0,10.0,689.0
164,171-0103046-3168324,13429000000000.0,1,629.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",238,629.0,10.0,619.0
165,171-0103062-4507572,59191300000000.0,1,299.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1320,299.0,10.0,289.0
166,171-0103740-6954760,8917820000000.0,1,649.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",110,649.0,10.0,639.0
167,171-0103950-3468329,15205300000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",128,499.0,10.0,489.0
168,171-0104341-6198772,28357700000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",71,499.0,10.0,489.0
169,171-0105422-5288336,61637600000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",240,549.0,10.0,539.0
170,171-0105624-5199509,34508800000000.0,1,1699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",675,1699.0,10.0,1689.0
171,171-0105702-2132323,34572600000000.0,1,849.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",555,849.0,10.0,839.0
172,171-0105881-7613156,15530500000000.0,1,649.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",444,649.0,10.0,639.0
173,171-0106485-8006721,10603900000000.0,1,849.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",132,849.0,10.0,839.0
174,171-0106517-5994718,11367700000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",142,499.0,10.0,489.0
175,171-0106998-9312365,11664300000000.0,1,389.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",257,389.0,10.0,379.0
176,171-0107581-2066704,18847200000000.0,1,279.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",781,279.0,10.0,269.0
177,171-0108422-4375570,70303600000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",191,549.0,10.0,539.0
178,171-0108515-5964354,56336100000000.0,1,289.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",462,289.0,10.0,279.0
179,171-0109070-3901902,34139000000000.0,2,3198.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",721,6396.0,10.0,6386.0
180,171-0109862-2525140,2717880000000.0,1,1499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",505,1499.0,10.0,1489.0
181,171-0110261-0965158,64465100000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",51,599.0,10.0,589.0
182,171-0110274-8765945,905817000000.0,1,449.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",39,449.0,10.0,439.0
184,171-0110470-0373973,61859600000000.0,1,1749.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",257,1749.0,10.0,1739.0
185,171-0110773-9929140,55542100000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",227,549.0,10.0,539.0
186,171-0111238-6630714,34103500000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",434,599.0,10.0,589.0
187,171-0111900-3181109,36043100000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",434,499.0,10.0,489.0
188,171-0111916-3053153,56324400000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",18,599.0,10.0,589.0
190,171-0112296-0066719,41663100000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",227,499.0,10.0,489.0
191,171-0112487-5278755,25080200000000.0,1,269.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",256,269.0,10.0,259.0
192,171-0112796-1247517,59964200000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1411,399.0,10.0,389.0
193,171-0113020-3500341,53766700000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",512,399.0,10.0,389.0
194,171-0116189-0470758,5807770000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",320,399.0,10.0,389.0
195,171-0116987-3727544,9731310000000.0,1,2570.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",68,2570.0,10.0,2560.0
196,171-0117280-8302738,59500200000000.0,1,749.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",296,749.0,10.0,739.0
197,171-0117693-1661907,1854360000000.0,1,349.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",662,349.0,10.0,339.0
198,171-0120255-9397962,61605800000000.0,1,999.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",127,999.0,10.0,989.0
199,171-0120410-6056350,2428830000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1056,499.0,10.0,489.0
200,171-0120659-1021102,58460400000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",70,699.0,10.0,689.0
201,171-0123700-0386756,31988200000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",344,599.0,10.0,589.0
